"Week","Day","Rink","Time","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget",
"12w1gV2.06_"," "," "," ","Emperors","Emperors","Emperors","Emperors","Emperors","Saints","Saints","Saints","Saints","Saints","Flyers","Flyers","Flyers","Flyers","Flyers","Bears","Bears","Bears","Bears","Bears","Newcastle","Newcastle","Newcastle","Newcastle","Newcastle","Ice Caps","Ice Caps","Ice Caps","Ice Caps","Ice Caps",
" "," "," "," ","Saints","Flyers","Bears","Newcastle","Ice Caps","Emperors","Flyers","Bears","Newcastle","Ice Caps","Emperors","Saints","Bears","Newcastle","Ice Caps","Emperors","Saints","Flyers","Newcastle","Ice Caps","Emperors","Saints","Flyers","Bears","Ice Caps","Emperors","Saints","Flyers","Bears","Newcastle",
"2","SUN","MACQ","19",,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
"2","SUN","LCC","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","SUN","LCC","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","SUN","LCC","10",0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
"2","SUN","LCC","17",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
"2","SUN","LCC","18",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
"2","SUN","LCC","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","SAT","HISS","17",,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
"2","SAT","HISS","18",,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
"2","SUN","HISS","17",,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
"2","SUN","HISS","18",,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
"2","SAT","ACT","12",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
"2","SAT","ACT","16",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
"3","SAT","COIR","19",0,0,0,0,,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,,,,
"3","SAT","COIR","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","SUN","COIR","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","SUN","COIR","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","SUN","COIR","10",0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"3","SUN","COIR","18",0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
